description,age,employment_status,employment_years,income,credit_score,loan_amount,loan_term_months,loan_purpose,debt_to_income,existing_loans,collateral,revolving_utilization,delinquencies,bankruptcies,underwriter_notes,credit_health_index,approved,risk_tier,recommended_apr,default_prob,max_approved_amount
"Applicant is a 70-year-old employed professional (32.5 years in field) requesting a $74,644 credit facility for green energy & solar over 240 months secured by property / real estate. Declared annual income is $73,704 against a credit score of 802 and DTI ratio of 0.35. Credit file shows 3 existing loan liability(ies), 21% revolving utilization, and with zero delinquencies. Underwriting assessment: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",70,Employed,32.5,73704,802,74644,240,Green Energy & Solar,0.35,3,Property / Real Estate,0.21,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,54725
"Credit application summary: $42,800 debt consolidation loan sought by a 48-year-old employed individual. Repayment horizon is 60 months with investment portfolio collateral. Applicant commands an annual income of $102,250 with a FICO score of 663 and debt ratio of 0.11. Borrower carries no existing debt obligations and revolving utilization of 29%. Credit notes: Verified disposable cash flow comfortably covers debt service coverage ratio.",48,Employed,7.4,102250,663,42800,60,Debt Consolidation,0.11,0,Investment Portfolio,0.29,0,0,Verified disposable cash flow comfortably covers debt service coverage ratio.,99.0,1,Tier A+ (Prime),6.25,0.02,75920
"Loan profile: The applicant is 53 years of age, working as employed with 26.8 years of experience. Seeking $33,493 financing for home improvement across 60 monthly installments without collateral backing. Earning $41,789 annually with an established credit score of 647 and monthly DTI of 1.01. The borrower currently maintains 5 existing loan liability(ies). Risk note: Unfavorable leverage metrics and multiple active loan liabilities.",53,Employed,26.8,41789,647,33493,60,Home Improvement,1.01,5,None,0.37,1,0,Unfavorable leverage metrics and multiple active loan liabilities.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Borrower review: 36-year-old self-employed requesting a $44,420 36-month loan for personal. Financial standing: $93,750 annual gross income, credit rating of 726, and leverage ratio of 0.17. Collateral posture: Investment Portfolio. Obligation structure: no existing debt obligations, with zero delinquencies, 20% revolving usage. Analyst review: Strong liquidity profile and prime credit score history.",36,Self-Employed,7.2,93750,726,44420,36,Personal,0.17,0,Investment Portfolio,0.2,0,0,Strong liquidity profile and prime credit score history.,99.0,1,Tier A+ (Prime),6.25,0.02,69609
"Applicant is a 62-year-old employed professional (33.3 years in field) requesting a $27,576 credit facility for home purchase over 60 months without collateral backing. Declared annual income is $80,594 against a credit score of 606 and DTI ratio of 0.12. Credit file shows no existing debt obligations, 10% revolving utilization, and with 1 past delinquency flag(s). Underwriting assessment: Clean repayment history with strong collateral backing.",62,Employed,33.3,80594,606,27576,60,Home Purchase,0.12,0,None,0.1,1,0,Clean repayment history with strong collateral backing.,76.9,1,Tier A (Prime),10.33,0.04,46482
"Credit application summary: $83,658 medical loan sought by a 62-year-old retired individual. Repayment horizon is 60 months with none collateral. Applicant commands an annual income of $47,130 with a FICO score of 729 and debt ratio of 0.36. Borrower carries 1 existing loan liability(ies) and revolving utilization of 9%. Credit notes: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",62,Retired,19.6,47130,729,83658,60,Medical,0.36,1,None,0.09,2,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,76.3,1,Tier A (Prime),10.46,0.042,26970
"Loan profile: The applicant is 35 years of age, working as business owner with 6.4 years of experience. Seeking $120,799 financing for vehicle purchase across 60 monthly installments without collateral backing. Earning $60,538 annually with an established credit score of 647 and monthly DTI of 0.39. The borrower currently maintains 2 existing loan liability(ies). Risk note: Strong liquidity profile and prime credit score history.",35,Business Owner,6.4,60538,647,120799,60,Vehicle Purchase,0.39,2,None,0.11,0,0,Strong liquidity profile and prime credit score history.,68.5,1,Tier A (Prime),12.18,0.087,31101
"Borrower review: 21-year-old self-employed requesting a $61,962 36-month loan for green energy & solar. Financial standing: $106,157 annual gross income, credit rating of 638, and leverage ratio of 0.13. Collateral posture: Vehicle. Obligation structure: 1 existing loan liability(ies), with zero delinquencies, 15% revolving usage. Analyst review: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",21,Self-Employed,0.0,106157,638,61962,36,Green Energy & Solar,0.13,1,Vehicle,0.15,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,81.0,1,Tier A+ (Prime),9.43,0.027,64490
"Applicant is a 53-year-old employed professional (11.2 years in field) requesting a $116,263 credit facility for debt consolidation over 60 months secured by investment portfolio. Declared annual income is $102,426 against a credit score of 678 and DTI ratio of 0.16. Credit file shows 1 existing loan liability(ies), 17% revolving utilization, and with 1 past delinquency flag(s). Underwriting assessment: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",53,Employed,11.2,102426,678,116263,60,Debt Consolidation,0.16,1,Investment Portfolio,0.17,1,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,76051
"Credit application summary: $93,446 education loan sought by a 27-year-old employed individual. Repayment horizon is 60 months with none collateral. Applicant commands an annual income of $74,048 with a FICO score of 600 and debt ratio of 0.50. Borrower carries 3 existing loan liability(ies) and revolving utilization of 15%. Credit notes: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",27,Employed,3.0,74048,600,93446,60,Education,0.5,3,None,0.15,2,1,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,1.0,0,Tier D (High Risk),26.25,0.94,3000
"Loan profile: The applicant is 32 years of age, working as business owner with 4.8 years of experience. Seeking $32,820 financing for vehicle purchase across 120 monthly installments without collateral backing. Earning $55,987 annually with an established credit score of 670 and monthly DTI of 0.41. The borrower currently maintains 2 existing loan liability(ies). Risk note: Moderate risk profile; requires verification of secondary liquid assets.",32,Business Owner,4.8,55987,670,32820,120,Vehicle Purchase,0.41,2,None,0.09,1,0,Moderate risk profile; requires verification of secondary liquid assets.,62.6,1,Tier B (Near-Prime),13.48,0.147,26285
"Borrower review: 61-year-old self-employed requesting a $75,120 60-month loan for home purchase. Financial standing: $57,251 annual gross income, credit rating of 711, and leverage ratio of 0.47. Collateral posture: Investment Portfolio. Obligation structure: 3 existing loan liability(ies), with zero delinquencies, 4% revolving usage. Prior bankruptcy recorded. Analyst review: Elevated debt-to-income ratio presents elevated default risk under rate shocks.",61,Self-Employed,5.1,57251,711,75120,60,Home Purchase,0.47,3,Investment Portfolio,0.04,0,1,Elevated debt-to-income ratio presents elevated default risk under rate shocks.,44.6,0,Tier C (Subprime),17.44,0.51,19150
"Applicant is a 27-year-old employed professional (1.8 years in field) requesting a $15,333 credit facility for home improvement over 36 months secured by property / real estate. Declared annual income is $67,293 against a credit score of 504 and DTI ratio of 0.09. Credit file shows no existing debt obligations, 26% revolving utilization, and with zero delinquencies. Underwriting assessment: Moderate risk profile; requires verification of secondary liquid assets.",27,Employed,1.8,67293,504,15333,36,Home Improvement,0.09,0,Property / Real Estate,0.26,0,0,Moderate risk profile; requires verification of secondary liquid assets.,56.4,1,Tier B (Near-Prime),14.84,0.242,28464
"Credit application summary: $46,145 debt consolidation loan sought by a 49-year-old employed individual. Repayment horizon is 36 months with vehicle collateral. Applicant commands an annual income of $101,587 with a FICO score of 770 and debt ratio of 0.08. Borrower carries no existing debt obligations and revolving utilization of 24%. Credit notes: Borrower demonstrates exemplary cash reserves and disciplined credit utilization.",49,Employed,7.3,101587,770,46145,36,Debt Consolidation,0.08,0,Vehicle,0.24,0,0,Borrower demonstrates exemplary cash reserves and disciplined credit utilization.,99.0,1,Tier A+ (Prime),6.25,0.02,75428
"Loan profile: The applicant is 51 years of age, working as employed with 22.5 years of experience. Seeking $16,534 financing for medical across 60 monthly installments without collateral backing. Earning $29,117 annually with an established credit score of 748 and monthly DTI of 0.66. The borrower currently maintains 1 existing loan liability(ies). Risk note: Unfavorable leverage metrics and multiple active loan liabilities.",51,Employed,22.5,29117,748,16534,60,Medical,0.66,1,None,0.12,2,0,Unfavorable leverage metrics and multiple active loan liabilities.,38.9,0,Tier C (Subprime),18.69,0.648,8494
"Borrower review: 55-year-old business owner requesting a $36,966 60-month loan for home purchase. Financial standing: $73,973 annual gross income, credit rating of 540, and leverage ratio of 0.29. Collateral posture: Vehicle. Obligation structure: 2 existing loan liability(ies), with zero delinquencies, 35% revolving usage. Analyst review: High revolving credit utilization with recent delinquency inquiries on file.",55,Business Owner,18.7,73973,540,36966,60,Home Purchase,0.29,2,Vehicle,0.35,0,0,High revolving credit utilization with recent delinquency inquiries on file.,47.9,0,Tier C (Subprime),16.71,0.428,26574
"Applicant is a 66-year-old employed professional (30.3 years in field) requesting a $13,632 credit facility for debt consolidation over 36 months without collateral backing. Declared annual income is $55,744 against a credit score of 528 and DTI ratio of 0.10. Credit file shows no existing debt obligations, 43% revolving utilization, and with zero delinquencies. Underwriting assessment: Moderate risk profile; requires verification of secondary liquid assets.",66,Employed,30.3,55744,528,13632,36,Debt Consolidation,0.1,0,None,0.43,0,0,Moderate risk profile; requires verification of secondary liquid assets.,52.9,1,Tier B (Near-Prime),15.61,0.312,22116
